////Funkin text
//Friday--Night--MothaFucka
//I Hate Soft Mod--I Hate Soft Mod--I Hate Soft Mod
//It's not overcharted--You're just bad
//pico gang--pico gang
//funkin--funkin moment
//yeah i like dark humour--*cock joke*
//Help wanted:--child groomers--and drama whores
//wishlist--average 4k
//countably--infinigger
//take your pibby mods--choke on the pibby mods
////Funkin/SCP text
//which scp--to bang carol?
//now with apollyon charts--for lunatics
////SCP text
//Nobody was here
//Communism has lost
//Djkaktus writing be like--{words}
//Social--Credit--Points
//Can't fit round pegs--in square holes
//R.I.P.--sexy doorknob
Imagine calling it 'keeter'--couldn't be me
//many--a bad composition
//malO--thank you malO
//Beware the man--who speaks in hands
//You're going to die--You dumb fuck
//●●|●●●●●|●●|●--🏳️‍🌈🚬
//Don't read SCP-2718--Worst mistake of my life
//Reject The Deer--Embrace the Forest Spirit
//keep calm--and hjmae ifel on
//we--are--dead
//fellow scholar--fellow scholar--fellow scholar
//is it hateful star--or star the hateful?
////Misc text
//The Rumbling was justified--All hail Floch--Devote your hearts
//Tiananmen Square Massacre--Free Tibet--Winnie the Pooh
//Fragile--Handle with care
//go--zap to the extreme
//we do--a little trolling
//yeah i'm a musician--*megalovania*
//*in joke*
//i'm mr. mix--shh...
//remember--to take your meds today
//lol--lmao even
////Suggestions
//d boys--rule
//i hate you--i hate you so much
//i hate darkusa--so much
//all business--all the time
//everything after Series II--is garbage
//that's one--sexy doorknob
////RPC Authority--seethe
//SCP-5167 isnt a joke--cry about it
//NEO--WE NEED TO TAWK
//em--breaded donkey
//cool story dude--*zaps your balls*
//I don't recognise--wait is that jeff
//you forgot about--the water bed--you fucking idiot
//s.o.s--hunger
//reject flesh--embrace clockwork
//i fought the weed--the weed won
///x/?--who dat--check out my gay SCP
//you do not recognize--the bodies in the water
//do not let--dr bright in
//D BOYS--D BOYS--D BOYS
//FOUR--FUCKING--PIXELS
//FNF is a game--that used to be a library
//scp 2331--better than zardy
